金刚川,剧情/战争,6.5,
刺杀小说家,动作/奇幻,6.5,
催眠·裁决,犯罪/悬疑,5.8,
盛夏未来,剧情,7.1,
半个喜剧,喜剧/爱情,7.3,
除暴,剧情/动作,6.1,
中国医生,剧情/灾难,6.9,
大约在冬季,剧情/爱情,5.1,
一点就到家,剧情/喜剧,6.6,
没问题,剧情/喜剧,6.1,
法医宋慈,悬疑/古装,5.8,
你好，李焕英,剧情/喜剧,7.7,
误杀,剧情/犯罪,7.5,
又见奈良,剧情,7.4,
晴雅集,爱情/奇幻,5,
夺冠,剧情/运动,7.1,
紧急救援,动作/灾难,6,
我要我们在一起,剧情/爱情,6.0,
当男人恋爱时,爱情,6.3,
追虎擒龙,剧情/动作,5,
逃狱兄弟,喜剧/犯罪,6,
消失的情人节,喜剧/爱情,7.2,
大赢家,喜剧,6.7,
唐人街探案3,喜剧/悬疑,5.3,
受益人,剧情/喜剧,6.5,
