0,2
传记,7.1
儿童,5.6
冒险,5.45
剧情,6.45
动作,6.0
动画,6.4
历史,7.62
古装,5.32
同性,7.1
喜剧,6.24
奇幻,5.78
家庭,6.73
恐怖,5.9
悬疑,6.01
惊悚,5.75
战争,6.28
歌舞,9.33
灾难,6.45
爱情,5.96
犯罪,6.2
科幻,5.5
运动,7.1
音乐,7.9
